Grupo;Situação;Ano Formação;Líder;Instituição;Unidade;Área predominante;UF;Repercussão;Linhas de Pesquisa;Instituições Parceiras;Indicadores de RH;link
Grupo de Pesquisa em Gestão de Operações & Cadeia de Suprimentos Digitais e Sustentáveis;Certificado;2011;Moacir Godinho Filho;Universidade Federal de São Carlos - UFSCAR;Departamento de Engenharia da Produção;Engenharias, Engenharia de Produção;SP;O Grupo de Pesquisa em Gestão de Operações & Cadeia de Suprimentos Digitais e Sustentáveis é um grupo de pesquisa do Departamento de Engenharia de Produção da Universidade Federal de São Carlos (UFSCar) que estuda e pesquisa a gestão de operações (GO) e a cadeia de suprimentos (SC). Mais atualmente nosso grupo incluiu também em suas atividades o estudo de aspectos da digitização e da sustentabilidade no contexto da GO e da SC. O grupo desenvolve atividades de pesquisa, ensino e extensão dentro dessas áreas. Tais atividades se concentram dentro das seguintes linhas de pesquisa: - Supply Chain Management - Logística Integrada - Planejamento e Controle da Produção - Lean Manufacturing (Manufatura Enxuta) - Quick Response Manufacturing - Digitização/Indústria 4.0 - Abordagens de gestão sustentável (Cleaner Production, Economia Circular, dentre outros) - Factory Physics;{"Nome":Factory Physics,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Gestão de Operações e Cadeia de Suprimentos Sustentáveis,"Q_Estudantes":0,"Q_Pesquisadores":3}|{"Nome":Gestão de Operações e Cadeias de Suprimentos Digitais,"Q_Estudantes":1,"Q_Pesquisadores":4}|{"Nome":Logística Integrada & Gestão da Cadeia de Suprimentos,"Q_Estudantes":0,"Q_Pesquisadores":4}|{"Nome":Manufatura Enxuta,"Q_Estudantes":0,"Q_Pesquisadores":5}|{"Nome":Métodos Quantitativos aplicados à Gestão de Operações e Cadeia de Suprimentos,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Planejamento e Controle da Produção (PCP),"Q_Estudantes":0,"Q_Pesquisadores":5}|{"Nome":Redução de Lead Time / Quick Response Manufacturing,"Q_Estudantes":0,"Q_Pesquisadores":3}|{"Nome":Workload Control,"Q_Estudantes":0,"Q_Pesquisadores":1};{"Nome":Université de Sherbrooke,"Sigla":USherbrooke,"UF":};{"Formação acadêmica":Doutorado,"Pesquisadores":6,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":6}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1};http://dgp.cnpq.br/dgp/espelhogrupo/2819770553604591
Grupo de Pesquisas em Tecnologias Inovadoras (i2);Certificado - Não-atualizado há mais de 12 meses;2021;Mario Tadashi Shimanuki ;Instituto Federal de São Paulo - IFSP;IFSP - Campus Caraguatatuba;Ciências Exatas e da Terra, Ciência da Computação;SP;Narcizo, F.B., dos Santos, F.E.D., Hansen, D.W. High-Accuracy Gaze Estimation for Interpolation-Based Eye-Tracking Methods. Vision 2021, 5, 41. https://doi.org/10.3390/vision5030041;{"Nome":Inteligência Artificial,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Inovação Digital,"Q_Estudantes":0,"Q_Pesquisadores":3};;{"Formação acadêmica":Doutorado,"Pesquisadores":2,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Mestrado,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":0,"Técnicos":1,"Estrangeiros":0,"Total":1};http://dgp.cnpq.br/dgp/espelhogrupo/757318
Grupo de Segurança Cibernética e Sistemas Ciber-Físicos (SciFi);Certificado;2022;Roben Castagna Lunardi;Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul - IFRS;IFRS - Campus Restinga;Ciências Exatas e da Terra, Ciência da Computação;RS;O grupo possui pesquisadores na área de de sistemas ciber-físicos e segura segurança cibernética com mais de 10 anos de experiência em ambas áreas. Dentre as atividades, o grupo realizou formações, workshops, organizou eventos, além de publicar e atuar na área. Em especial na área de sistemas ciber-físicos, diversas pesquisas e atuação na áreas de IoT, robóticas educacional, e automação industrial. Ná área de segurança cibernética, se destacam atividades nas áreas de testes de intrusão (PENTEST), sistemas de detecção de intrusão (IDS), predição de ataques, e blockchains.;{"Nome":Blockchains,"Q_Estudantes":1,"Q_Pesquisadores":1}|{"Nome":Internet das Coisas,"Q_Estudantes":1,"Q_Pesquisadores":4}|{"Nome":Robótica Educacional,"Q_Estudantes":6,"Q_Pesquisadores":3}|{"Nome":Segurança Cibernética,"Q_Estudantes":3,"Q_Pesquisadores":3};;{"Formação acadêmica":Doutorado,"Pesquisadores":5,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":5}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Ensino Médio (2o grau),"Pesquisadores":0,"Estudantes":7,"Técnicos":0,"Estrangeiros":0,"Total":7};http://dgp.cnpq.br/dgp/espelhogrupo/776743
Grupo de Segurança e Criptografia - GruSeC;Excluído;2021;Mehran Misaghi ;Sociedade Educacional de Santa Catarina - SOCIESC;CENTRO UNIVERSITÁRIO SOCIESC;Ciências Exatas e da Terra, Ciência da Computação;SC;;{"Nome":Análise de vulnerabilidade de dispositivos de Internet das Coisas baseada em reconhecimento de padrões,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Segurança e continuidade de negócios,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Votação Eletrônica baseado em blockchain,"Q_Estudantes":1,"Q_Pesquisadores":2};;{"Formação acadêmica":Doutorado,"Pesquisadores":3,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":3}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1};http://dgp.cnpq.br/dgp/espelhogrupo/740794
GRUPO DE TECNOLOGIA DE INFORMACAO APLICADA;Certificado;1997;Eduardo Martins Morgado;Universidade Estadual Paulista Júlio de Mesquita Filho - UNESP;Departamento de Computação;Ciências Exatas e da Terra, Ciência da Computação;SP;Criado em 1987, desenvolvia inicialmente sistema de colaboração e ensino à Distância. Atualmente se dedica às areas de Sistemas Embarcados e aplicações para TV Digital, interoperabilidade de Sistemas Windows x Linux. Desenvolvimento de Jogos de Entretenimento e Sistemas Multimídia, Web e Robótica, Otimização de infraestrutura de TI, Engenharia de Software QA & Testing aplicados a Software Embarcado e Games. Mantém parceria com empresas e capta recursos para pesquisas. Homologado no MCTI - CATI, para acesso aos recursos da Lei de Informatica desde 2009.;{"Nome":Aplicação de Tecnologias da Informação e Comunicação em Saúde,"Q_Estudantes":1,"Q_Pesquisadores":2}|{"Nome":Aplicações de TI na área Jurídica,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Cloud Computing, Automação, Big Data, IoT, Análise Avançada, Blockchain,"Q_Estudantes":1,"Q_Pesquisadores":7}|{"Nome":Comunicação em Radio Difusão Digital,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Games, Realidade Virtual e Gamificação,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Inovação, Gestão Tecnológica e Sustentabilidade,"Q_Estudantes":1,"Q_Pesquisadores":1}|{"Nome":Sistemas, modelos e aplicações computacionais,"Q_Estudantes":1,"Q_Pesquisadores":5}|{"Nome":TI na Educação,"Q_Estudantes":3,"Q_Pesquisadores":5};{"Nome":Motorola Solutions,"Sigla":MOTOROLA,"UF":SP};{"Formação acadêmica":Doutorado,"Pesquisadores":7,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":8}|{"Formação acadêmica":Mestrado,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Mestrado Profissional,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Especialização,"Pesquisadores":2,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":4,"Técnicos":0,"Estrangeiros":0,"Total":4};http://dgp.cnpq.br/dgp/espelhogrupo/7522
Humanas Tecnologias;Certificado;2018;Aline Couri Fabião;Universidade Federal do Rio de Janeiro - UFRJ;Escola de Belas Artes;Lingüística, Letras e Artes, Artes;RJ;;{"Nome":Espécies de espaços: Tecnologia, Arte e Espaços Cotidianos de Vida,"Q_Estudantes":1,"Q_Pesquisadores":3}|{"Nome":Mediação cultural em exposiçoes de arte,"Q_Estudantes":1,"Q_Pesquisadores":1}|{"Nome":Tecnologias da consciência: arte, corpo e mídias,"Q_Estudantes":1,"Q_Pesquisadores":4}|{"Nome":Técnicas e estéticas da criptoarte,"Q_Estudantes":7,"Q_Pesquisadores":1};;{"Formação acadêmica":Doutorado,"Pesquisadores":2,"Estudantes":0,"Técnicos":0,"Estrangeiros":1,"Total":3}|{"Formação acadêmica":Especialização,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":2,"Estudantes":8,"Técnicos":0,"Estrangeiros":0,"Total":10}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1};http://dgp.cnpq.br/dgp/espelhogrupo/347191
Humanas Tecnologias;Certificado;2018;Aline Couri Fabião;Universidade Federal do Rio de Janeiro - UFRJ;Escola de Belas Artes;Lingüística, Letras e Artes, Artes;RJ;;{"Nome":Espécies de espaços: Tecnologia, Arte e Espaços Cotidianos de Vida,"Q_Estudantes":1,"Q_Pesquisadores":3}|{"Nome":Mediação cultural em exposiçoes de arte,"Q_Estudantes":1,"Q_Pesquisadores":1}|{"Nome":Tecnologias da consciência: arte, corpo e mídias,"Q_Estudantes":1,"Q_Pesquisadores":4}|{"Nome":Técnicas e estéticas da criptoarte,"Q_Estudantes":7,"Q_Pesquisadores":1};;{"Formação acadêmica":Doutorado,"Pesquisadores":2,"Estudantes":0,"Técnicos":0,"Estrangeiros":1,"Total":3}|{"Formação acadêmica":Especialização,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":2,"Estudantes":8,"Técnicos":0,"Estrangeiros":0,"Total":10}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1};http://dgp.cnpq.br/dgp/espelhogrupo/1322326494246295
IAD - Iniciativa de Ativos Digitais;Certificado;2022;Ioram Schechtman Sette;Centro de Estudos e Sistemas Avançados do Recife - CESAR;;Ciências Exatas e da Terra, Ciência da Computação;PE;Realizar pesquisas e experimentos de modo a empoderar indivíduos tornando tão rápido e fácil mover valor pelo mundo quanto é mover informações;{"Nome":Blockchain Criptomoedas/Criptoativos e o sistema financeiro,"Q_Estudantes":6,"Q_Pesquisadores":5};;{"Formação acadêmica":Doutorado,"Pesquisadores":2,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Mestrado,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Mestrado Profissional,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Especialização,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":1,"Estudantes":3,"Técnicos":0,"Estrangeiros":0,"Total":4}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2};http://dgp.cnpq.br/dgp/espelhogrupo/772323
Ibituruna;Em preenchimento;2013;Gabriel Antoine Louis Paillard ;Universidade Federal do Ceará - UFC;Instituto Universidade Virtual;Ciências Exatas e da Terra, Ciência da Computação;CE;O objetivo deste grupo é efetuar pesquisas na temática de Computação em Nuvem, mas não limitando-se somente a esta o que se pode constatar através da interdisciplinaridade com aspectos ligados à mídias e educação à distância. Aspectos de análise de desempenho, banco de dados e computação de alto desempenho também são discutidos, assim como tópicos específicos de cada área de estudo.;{"Nome":Aplicações Blockchain,"Q_Estudantes":2,"Q_Pesquisadores":4}|{"Nome":Aprendizagem de máquina aplicada,"Q_Estudantes":1,"Q_Pesquisadores":1}|{"Nome":Computacao em Nuvem (Cloud Computing),"Q_Estudantes":0,"Q_Pesquisadores":4}|{"Nome":Computação Física,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Computação Musical,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":e-Health e m-Health para a Promoção da Saúde,"Q_Estudantes":0,"Q_Pesquisadores":5}|{"Nome":Ecossistemas de Software,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Internet das Coisas,"Q_Estudantes":0,"Q_Pesquisadores":5}|{"Nome":Processamento e Visualização de Dados,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Redes SDN,"Q_Estudantes":0,"Q_Pesquisadores":1};;{"Formação acadêmica":Doutorado,"Pesquisadores":5,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":6}|{"Formação acadêmica":Mestrado,"Pesquisadores":2,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":3}|{"Formação acadêmica":Especialização,"Pesquisadores":0,"Estudantes":0,"Técnicos":1,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Ensino Médio (2o grau),"Pesquisadores":0,"Estudantes":0,"Técnicos":1,"Estrangeiros":0,"Total":1};http://dgp.cnpq.br/dgp/espelhogrupo/61128
iMobilis - Computação Móvel;Certificado;2010;Ricardo Augusto Rabelo Oliveira;Universidade Federal de Ouro Preto - UFOP;;Ciências Exatas e da Terra, Ciência da Computação;MG;O Laboratório iMobilis desenvolve pesquisas na área de computação móvel com sistemas embutidos, utilizando as arquiteturas de hardware baseadas nos processadores ARM, Risc e Intel. Atualmente atua na area de Edge Computing, com uso de Inteligencia Artificial e Blockchain na estrutura de cloud e IoT O laboratorio está implantado no DECOM e no DECSI, departamentos da UFOP nos campus de Ouro Preto e João Monlevade Em seus 3 anos de existência a pesquisa e produção do grupo atingiu destaque no cenário mundial, com repercussão na midia. As repercusões na midia podem ser vistas em: http://www.decom.ufop.br/imobilis/?page_id=3294;{"Nome":Cyber-Physical Systems e Indústria 4.0,"Q_Estudantes":2,"Q_Pesquisadores":5}|{"Nome":Estudo de tecnicas de desenvolvimento movel,"Q_Estudantes":2,"Q_Pesquisadores":6}|{"Nome":Redes sem fio de curto e longo alcance,"Q_Estudantes":1,"Q_Pesquisadores":4}|{"Nome":Sistemas Embutidos para veiculos,"Q_Estudantes":1,"Q_Pesquisadores":4}|{"Nome":VANETs,"Q_Estudantes":1,"Q_Pesquisadores":2}|{"Nome":Wearables pra industria,"Q_Estudantes":1,"Q_Pesquisadores":3};{"Nome":Seva Engenharia Eletrônica,"Sigla":SEVA,"UF":MG}|{"Nome":Instituto Tecnológico Vale - Ouro Preto,"Sigla":ITV/OP,"UF":MG};{"Formação acadêmica":Doutorado,"Pesquisadores":7,"Estudantes":1,"Técnicos":0,"Estrangeiros":1,"Total":9}|{"Formação acadêmica":Mestrado,"Pesquisadores":1,"Estudantes":1,"Técnicos":1,"Estrangeiros":0,"Total":3}|{"Formação acadêmica":Graduação,"Pesquisadores":1,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2};http://dgp.cnpq.br/dgp/espelhogrupo/5940888799555819
Indústria 4.0;Certificado;2020;Bruno Nazário Coelho;Universidade Federal de Ouro Preto - UFOP;Escola de Minas;Engenharias, Engenharia Elétrica;MG;Este grupo multidisciplinar desenvolve pesquisas relacionadas às tecnologias consideradas como pilares para a Indústria 4.0. O principal objetivo é o intercâmbio de conhecimentos de modo a proporcionar o desenvolvimento de novas tecnologias para melhoria de processos produtivos em busca de uma melhor qualidade de vida para as pessoas. Os principais resultados esperados são as aplicações práticas das tecnologias e processos desenvolvidos, além do incentivo para a popularização da ciência e tecnologia.;{"Nome":Blockchain, Cibersegurança, Criptografia e Cloud Computing,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Compliance e Governança Corporativa,"Q_Estudantes":0,"Q_Pesquisadores":1}|{"Nome":Digital Twin, Realidade Aumentada e Realidade Virtual,"Q_Estudantes":4,"Q_Pesquisadores":1}|{"Nome":IIoT (Industrial Internet of Things),"Q_Estudantes":2,"Q_Pesquisadores":1}|{"Nome":Indústria 4.0,"Q_Estudantes":1,"Q_Pesquisadores":6}|{"Nome":Inteligência Artificial, Data Science, Big Data e Analytics,"Q_Estudantes":3,"Q_Pesquisadores":1}|{"Nome":Manufatura Aditiva,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Otimização e Algoritmos Avançados,"Q_Estudantes":1,"Q_Pesquisadores":4}|{"Nome":Robótica,"Q_Estudantes":3,"Q_Pesquisadores":1}|{"Nome":Simulação,"Q_Estudantes":0,"Q_Pesquisadores":1};{"Nome":Fundação de Amparo à Pesquisa do Estado de Minas Gerais,"Sigla":FAPEMIG,"UF":MG}|{"Nome":Conselho Nacional de Desenvolvimento Científico e Tecnológico,"Sigla":CNPq,"UF":DF}|{"Nome":Instituto Tecnológico Vale,"Sigla":ITV,"UF":RJ};{"Formação acadêmica":Doutorado,"Pesquisadores":8,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":8}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":0,"Técnicos":2,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Mestrado Profissional,"Pesquisadores":0,"Estudantes":4,"Técnicos":0,"Estrangeiros":0,"Total":4}|{"Formação acadêmica":Especialização,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":3,"Técnicos":0,"Estrangeiros":0,"Total":3}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":7,"Técnicos":0,"Estrangeiros":0,"Total":7};http://dgp.cnpq.br/dgp/espelhogrupo/689673
Indústria 4.0 e Transformação Digital na Produção. Análise em três eixos - a sustentabilidade, o trabalho e a tecnologia.;Certificado - Não-atualizado há mais de 12 meses;2021;Márcia Terra da Silva ;Universidade Paulista - UNIP;Campus I - Indianópolis;Engenharias, Engenharia de Produção;SP;O Grupo de Indústria 4.0 publicou no último ano 4 artigos em congressos, 12 em periódicos e titulou 3 mestres e 6 doutores. As áreas de pesquisa do grupo que geram publicações e titulações são: Indústria 4.0 no setor automotivo brasileiro, Inovação com as tecnologias emergentes, Uso de tecnologias emergentes em serviços, Competências para a Indústria 4.0, Educação e competências para a Industria 4.0, Cidades inteligentes e sustentáveis, Tecnologias para a Indústria 4.0 - IoS, Blockchain e Mineração de Dados,;{"Nome":Redes de Empresas e Planejamento da Produção,"Q_Estudantes":8,"Q_Pesquisadores":5};;{"Formação acadêmica":Doutorado,"Pesquisadores":5,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":7}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":5,"Técnicos":0,"Estrangeiros":0,"Total":5};http://dgp.cnpq.br/dgp/espelhogrupo/710534
INSERT;Certificado;2014;Allan Edgard Silva Freitas;Instituto Federal da Bahia - IFBA;IFBA - Campus Salvador;Ciências Exatas e da Terra, Ciência da Computação;BA;;{"Nome":Blockchain,"Q_Estudantes":3,"Q_Pesquisadores":1}|{"Nome":Gerência de Redes,"Q_Estudantes":1,"Q_Pesquisadores":3}|{"Nome":Internet do Futuro,"Q_Estudantes":11,"Q_Pesquisadores":3};;{"Formação acadêmica":Doutorado,"Pesquisadores":4,"Estudantes":4,"Técnicos":0,"Estrangeiros":0,"Total":8}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Mestrado Profissional,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":5,"Técnicos":0,"Estrangeiros":0,"Total":5}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":4,"Técnicos":0,"Estrangeiros":0,"Total":4};http://dgp.cnpq.br/dgp/espelhogrupo/3083335562160256
Inteligência artificial, interfaces jurídicas e de segurança humana;Certificado;2020;Maria Amália Oliveira de Arruda Camara;Complexo Educacional Renato Saraiva - CERS;;Ciências Sociais Aplicadas, Direito;PE;O grupo desenvolveu pesquisa demonstrando a necessidade de estratégias para a proteção de dados pessoais em decisões automatizadas nas relações de consumo. Fez uma avaliação de risco deste cenário e destrinchou os direitos à explicação e revisão desse tipo de tratamento de dado pessoal. Publicou sobre assunto na REVISTA DE DIREITO DO CONSUMIDOR, v. 140, p. 1-22, 2022. Ainda sobre proteção de dados sensíveis diante da Lei Geral de Proteção de Dados em cenários tecnológicos, o grupo pesquisou acerca de Internet das Coisas e blockchain no Sistema Único de Saúde. Percebeu-se que ainda existe uma falta de transparência no tratamento dos dados pessoais e pouco accountability por parte dos cidadãos, se fazendo necessária uma mudança de estratégia tecnológica e de governança. Esse trabalho foi publicado nos CADERNOS IBERO-AMERICANOS DE DIREITO SANITÁRIO, v. 10, p. 93-112, 2021, revista do SUS - Sistema Único de Saúde. O grupo agora está ampliando suas parcerias internacionais para publicar.;{"Nome":Mercado e Segurança Humana,"Q_Estudantes":8,"Q_Pesquisadores":1};;{"Formação acadêmica":Doutorado,"Pesquisadores":1,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Mestrado Profissional,"Pesquisadores":0,"Estudantes":2,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":5,"Técnicos":0,"Estrangeiros":0,"Total":5};http://dgp.cnpq.br/dgp/espelhogrupo/778522
Internet das Coisas Médicas (IoMT);Certificado;2017;Marisangela Pacheco Brittes;Universidade Tecnológica Federal do Paraná - UTFPR;Campus Dois Vizinhos;Engenharias, Engenharia Biomédica;PR;O grupo de pesquisa de IoMT - Internet das Coisas Médicas tem por objetivo estudar o contexto atual relacionado à essas aplicações, as quais envolvem software, hardware e sistemas de comunicação. As contribuições iniciais dizem respeito à novas propostas de gestão de confiança para compartilhamento de informações em aplicações IoMT. Os impactos esperados referem-se à contribuições sobre novas aplicações, padronização de plataformas, dados e modelos de comunicação, assim como novas propostas de integração com tecnologias emergentes com foco em IoMT (inteligência artificial, blockchain).;{"Nome":Aspectos legais e ética em IoMT,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Panorama de mercado para aplicações IoMT,"Q_Estudantes":0,"Q_Pesquisadores":2}|{"Nome":Plataformas de software, hardware e comunicação para aplicações IoMT,"Q_Estudantes":1,"Q_Pesquisadores":7};;{"Formação acadêmica":Doutorado,"Pesquisadores":5,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":5}|{"Formação acadêmica":Mestrado,"Pesquisadores":2,"Estudantes":0,"Técnicos":0,"Estrangeiros":0,"Total":2}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1};http://dgp.cnpq.br/dgp/espelhogrupo/293526
Laboratório de Cidades Inteligentes e Sustentáveis (LaCiS);Certificado;2019;Denis Lima do Rosário;Universidade Federal do Pará - UFPA;;Ciências Exatas e da Terra, Ciência da Computação;PA;A Universidade Federal do Pará (UFPA) é a maior instituição pública de ensino, pesquisa e extensão na Amazônia e uma das maiores da América Latina. Por sua vez, a Faculdade de Computação da UFPA é pioneira na região Norte na formação e aperfeiçoamento de mais 2000 profissionais que atuam na área. Em 2005, iniciou o Programa de Pós-Graduação em Ciência da Computação (PPGCC), que hoje possui mestrado e doutorado. O Laboratório de Cidades Inteligentes e Sustentáveis (LaCiS) foi criado em 2019, tem a missão de promover o desenvolvimento de pesquisa aplicada e da Inovação em internet das coisas e cidades inteligentes, buscando melhorar a qualidade de vida do ser humano em geral, e em particular da região Amazônica, mediante processos integrados de ensino, pesquisa e extensão. O LaCis fica localizado no Campus Universitário do Guamá/UFPA ocupando uma área de 50m² bem equipados e consolidados.;{"Nome":Cloud e Fog,"Q_Estudantes":2,"Q_Pesquisadores":6}|{"Nome":Computação Urbana,"Q_Estudantes":4,"Q_Pesquisadores":5}|{"Nome":Internet das Coisas,"Q_Estudantes":6,"Q_Pesquisadores":5}|{"Nome":Redes Ad Hoc,"Q_Estudantes":4,"Q_Pesquisadores":3};{"Nome":Universidade do Vale do Rio dos Sinos,"Sigla":UNISINOS,"UF":RS}|{"Nome":Universidade Federal do Rio Grande do Norte,"Sigla":UFRN,"UF":RN}|{"Nome":Universidade Estadual de Campinas,"Sigla":UNICAMP,"UF":SP};{"Formação acadêmica":Doutorado,"Pesquisadores":9,"Estudantes":5,"Técnicos":0,"Estrangeiros":0,"Total":14}|{"Formação acadêmica":Mestrado,"Pesquisadores":0,"Estudantes":1,"Técnicos":0,"Estrangeiros":0,"Total":1}|{"Formação acadêmica":Graduação,"Pesquisadores":0,"Estudantes":3,"Técnicos":0,"Estrangeiros":0,"Total":3}|{"Formação acadêmica":Outros,"Pesquisadores":0,"Estudantes":4,"Técnicos":0,"Estrangeiros":0,"Total":4};http://dgp.cnpq.br/dgp/espelhogrupo/496117
